event_name,user_pseudo_id,item_id,item_name
select_item,36C08928A3034501845CC05D83639E85,821,Nasi Liwet Ayam Suwir Pedas Manis
select_item,36C08928A3034501845CC05D83639E85,11422,Nasi Ayam Serundeng
select_item,36C08928A3034501845CC05D83639E85,11422,Nasi Ayam Serundeng
select_item,36C08928A3034501845CC05D83639E85,2419,Ayam Woku & Tuna Kecombrang
add_to_wishlist,36C08928A3034501845CC05D83639E85,2419,Ayam Woku & Tuna Kecombrang
add_to_wishlist,36C08928A3034501845CC05D83639E85,2419,Ayam Woku & Tuna Kecombrang
select_item,36C08928A3034501845CC05D83639E85,9085,Nasi Kulit & Ayam Fillet
select_item,36C08928A3034501845CC05D83639E85,695,Nasi Bistik Ayam
select_item,36C08928A3034501845CC05D83639E85,1193,Dory Spaghetti Sambal Matah
add_to_wishlist,36C08928A3034501845CC05D83639E85,1193,Dory Spaghetti Sambal Matah
add_to_wishlist,36C08928A3034501845CC05D83639E85,1193,Dory Spaghetti Sambal Matah
select_item,36C08928A3034501845CC05D83639E85,1893,Spaghetti with Chicken and Sambal Matah
select_item,36C08928A3034501845CC05D83639E85,381,Fish and Chips
select_item,36C08928A3034501845CC05D83639E85,11637,Sandwich Ayam Roti Gandum
select_item,36C08928A3034501845CC05D83639E85,11621,Buritto Chicken Fajita
select_item,36C08928A3034501845CC05D83639E85,1262,Truffle Gyudon
select_item,36C08928A3034501845CC05D83639E85,1811,Penne-Pasta Chicken Pesto
select_item,36C08928A3034501845CC05D83639E85,1419,Fit Burger
select_item,36C08928A3034501845CC05D83639E85,1,"""Fried"" Chicken"
select_item,37B0EA34087546FD870F1863C0E3C7C7,81,Beefology Rice Box Cipete
select_item,37B0EA34087546FD870F1863C0E3C7C7,105,Wiki Wiki Juice & Health Bar Kemang
select_item,37B0EA34087546FD870F1863C0E3C7C7,105,Wiki Wiki Juice & Health Bar Kemang
select_item,37B0EA34087546FD870F1863C0E3C7C7,105,Wiki Wiki Juice & Health Bar Kemang
add_to_cart,37B0EA34087546FD870F1863C0E3C7C7,10376,Wiki Immune - reg bottle
remove_from_cart,37B0EA34087546FD870F1863C0E3C7C7,10376,(not set)
select_item,37B0EA34087546FD870F1863C0E3C7C7,1091,LAH! Nasi Mangkok
select_item,37B0EA34087546FD870F1863C0E3C7C7,81,Beefology Rice Box Cipete
select_item,37B0EA34087546FD870F1863C0E3C7C7,342,May's Delicious
select_item,37B0EA34087546FD870F1863C0E3C7C7,81,Beefology Rice Box Cipete
add_to_cart,37B0EA34087546FD870F1863C0E3C7C7,9742,Beef Yakiniku Regular
begin_checkout,37B0EA34087546FD870F1863C0E3C7C7,9742,Beef Yakiniku Regular
select_item,37B0EA34087546FD870F1863C0E3C7C7,95,Tastylicious Lunch
select_item,37B0EA34087546FD870F1863C0E3C7C7,126,Aleph by AJ Catering
select_item,37B0EA34087546FD870F1863C0E3C7C7,833,Soto Nusantara
select_item,37B0EA34087546FD870F1863C0E3C7C7,931,The Soy Story
select_item,37B0EA34087546FD870F1863C0E3C7C7,1491,Bundling 2 Pax Java Lunch
select_item,37B0EA34087546FD870F1863C0E3C7C7,1493,Paket Lunch Masakan Nusantara
select_item,37B0EA34087546FD870F1863C0E3C7C7,1527,Delight
select_item,37B0EA34087546FD870F1863C0E3C7C7,479,Chinese Wok
select_item,37B0EA34087546FD870F1863C0E3C7C7,180,Chinese Lunch
select_item,37B0EA34087546FD870F1863C0E3C7C7,126,Aleph by AJ Catering
add_to_cart,37B0EA34087546FD870F1863C0E3C7C7,126,Aleph by AJ Catering
add_to_cart,37B0EA34087546FD870F1863C0E3C7C7,126,Aleph by AJ Catering
add_to_cart,37B0EA34087546FD870F1863C0E3C7C7,126,Aleph by AJ Catering
add_to_cart,37B0EA34087546FD870F1863C0E3C7C7,126,Aleph by AJ Catering
add_to_cart,37B0EA34087546FD870F1863C0E3C7C7,126,Aleph by AJ Catering
select_item,37B0EA34087546FD870F1863C0E3C7C7,1460,D'Dinner
